구절,감정
잠언 3:7 스스로 지혜롭게 여기지 말지어다 여호와를 경외하며 악을 떠날지어다,"교만, 후회, 겸손"
잠언 3:8 이것이 네 몸에 양약이 되어 네 골수를 윤택하게 하리라,"무기력함, 슬픔, 희망"
잠언 3:9 네 재물과 네 소산물의 처음 익은 열매로 여호와를 공경하라,"감사, 탐욕, 겸손"
잠언 3:10 그리하면 네 창고가 가득히 차고 네 포도즙 틀에 새 포도즙이 넘치리라,"불안, 희망, 감사"
잠언 3:11 내 아들아 여호와의 징계를 경히 여기지 말라 그 꾸지람을 싫어하지 말라,"분노, 좌절, 겸손, 후회"
잠언 3:12 대저 여호와께서 그 사랑하시는 자를 징계하시기를 마치 아비가 그 기뻐하는 아들을 징계함 같이 하시느니라,"슬픔, 좌절, 희망, 사랑"
잠언 3:13 지혜를 얻은 자와 명철을 얻은 자는 복이 있나니,"무기력함, 희망, 감사"
잠언 3:14 이는 지혜를 얻는 것이 은을 얻는 것보다 낫고 그 이익이 정금보다 나음이니라,"탐욕, 좌절, 지혜추구"
잠언 3:15 지혜는 진주보다 귀하니 네가 사모하는 모든 것으로도 이에 비교할 수 없도다,"탐욕, 무기력함, 지혜추구"
잠언 3:16 그의 오른손에는 장수가 있고 그의 왼손에는 부귀가 있나니,"불안, 두려움, 희망"
잠언 3:17 그 길은 즐거운 길이요 그의 지름길은 다 평강이니라,"슬픔, 불안, 평안, 기쁨"
잠언 3:18 지혜는 그 얻은 자에게 생명 나무라 지혜를 가진 자는 복되도다,"무기력함, 희망, 감사"
잠언 3:19 여호와께서는 지혜로 땅에 터를 놓으셨으며 명철로 하늘을 견고히 세우셨고,"두려움, 경외, 감사"
잠언 3:20 그의 지식으로 깊은 바다를 갈라지게 하셨으며 공중에서 이슬이 내리게 하셨느니라,"두려움, 경외, 감사"
잠언 3:21 내 아들아 완전한 지혜와 근신을 지키고 이것들이 네 눈 앞에서 떠나지 말게 하라,"무기력함, 후회, 지혜추구"
잠언 3:22 그리하면 그것이 네 영혼의 생명이 되며 네 목에 장식이 되리니,"무기력함, 슬픔, 희망"
잠언 3:23 네가 네 길을 평안히 행하겠고 네 발이 거치지 아니하겠으며,"불안, 두려움, 평안"
잠언 3:24 네가 누울 때에 두려워하지 아니하겠고 네가 누운즉 네 잠이 달리로다,"불안, 두려움, 평안, 무기력함"
잠언 3:25 너는 갑작스러운 두려움도 악인에게 닥치는 멸망도 두려워하지 말라,"두려움, 불안, 평안"
잠언 3:26 대저 여호와는 네가 의지할 이시니라 네 발을 지켜 걸리지 않게 하시리라,"불안, 두려움, 희망, 평안"
잠언 3:27 네 손이 선을 베풀 힘이 있거든 마땅히 받을 자에게 베풀기를 아끼지 말며,"탐욕, 무기력함, 감사"
잠언 3:28 네게 있거든 이웃에게 이르기를 갔다가 다시 오라 내일 주겠노라 하지 말며,"탐욕, 후회, 감사"
잠언 3:29 네 이웃이 네 곁에서 평안히 살거든 그를 해하려고 꾀하지 말며,"분노, 질투, 평안"
잠언 3:30 사람이 네게 악을 행하지 아니 하였거든 까닭 없이 더불어 다투지 말며,"분노, 좌절, 평안"
잠언 3:31 포학한 자를 부러워하지 말며 그의 어떤 행위도 따르지 말라,"질투, 분노, 탐욕"
잠언 3:32 대저 패역한 자는 여호와께서 미워하시나 정직한 자에게는 그의 교통하심이 있으며,"외로움, 후회, 희망"
잠언 3:33 악인의 집에는 여호와의 저주가 있거니와 의인의 집에는 복이 있느리라,"두려움, 불안, 희망, 감사"
잠언 3:34 진실로 그는 거만한 자를 비웃으시며 겸손한 자에게 은혜를 베푸시나니,"교만, 겸손, 후회, 희망"
잠언 3:35 지혜로운 자는 영광을 기업으로 받거니와 미련한 자의 영달함은 수치가 되느니라,"교만, 지혜추구, 희망, 후회"
잠언 4:1 아들들아 아비의 훈계를 들으며 명철을 얻기에 주의하라,"무기력함, 지혜추구, 겸손"
잠언 4:2 내가 선한 도리를 너희에게 전하노니 내 법을 떠나지 말라,"후회, 지혜추구, 희망"
잠언 4:3 나도 내 아버지에게 아들이었으며 내 어머니 보기에 유약한 외아들이었노라,"외로움, 감사, 겸손"
잠언 4:4 아버지가 내게 가르쳐 이르기를 내 말을 네 마음에 두라 내 명령을 지키라 그리하면 살리라,"희망, 지혜추구, 사랑"
잠언 4:5 지혜를 얻으며 명철을 얻으라 내 입의 말을 잊지 말며 어기지 말라,"무기력함, 지혜추구, 희망"
잠언 4:6 지혜를 버리지 말라 그가 너를 보호하리라 그를 사랑하라 그가 너를 지키리라,"불안, 두려움, 평안, 사랑"
잠언 4:7 지혜가 제일이니 지혜를 얻으라 네가 얻은 모든 것을 가지고 명철을 얻을지니라,"무기력함, 좌절, 지혜추구"
잠언 4:8 그를 높이라 그리하면 그가 너를 높이 들리라 만일 그를 품으면 그가 너를 영화롭게 하리라,"좌절, 희망, 기쁨"
잠언 4:9 그가 아름다운 관을 네 머리에 두겠고 영화로운 면류관을 네게 주리라 하셨느니라,"희망, 기쁨, 감사"
잠언 4:10 내 아들아 들으라 내 말을 받으라 그리하면 네 생명의 해가 길리라,"두려움, 불안, 희망"
잠언 4:11 내가 지혜로운 길을 네게 가르쳤으며 정직한 길로 너를 인도하였은즉,"후회, 지혜추구, 감사"
잠언 4:12 다닐 때에 네 걸음이 곤고하지 아니하겠고 달려갈 때에 실족하지 아니하리라,"불안, 좌절, 희망, 평안"
잠언 4:13 훈계를 굳게 잡아 놓치지 말고 지키라 이것이 네 생명이니라,"무기력함, 두려움, 희망"
잠언 4:14 사악한 자의 길에 들어가지 말며 악인의 길로 다니지 말지어다,"유혹, 두려움, 불안"
잠언 4:15 그의 길을 피하고 지나가지 말며 돌이켜 떠나갈지어다,"유혹, 두려움, 후회"
잠언 4:16 그들은 악을 행하지 못하면 자지 못하며 사람을 넘어뜨리지 못하면 잠이 오지 아니하며,"분노, 불안, 두려움"
잠언 4:17 불의의 떡을 먹으며 강포의 술을 마심이니라,"분노, 후회, 두려움"
잠언 4:18 의인의 길은 돋는 햇살 같아서 크게 빛나 한낮의 광명에 이르거니와,"희망, 기쁨, 평안"
잠언 4:19 악인의 길은 어둠 같아서 그가 걸려 넘어져도 그것이 무엇인지 깨닫지 못하느니라,"무기력함, 좌절, 두려움"
잠언 4:20 내 아들아 내 말에 주의하며 내가 말하는 것에 네 귀를 기울이라,"무기력함, 지혜추구, 겸손"
잠언 4:21 그것을 네 눈에서 떠나게 하지 말며 네 마음 속에 지키라,"후회, 무기력함, 지혜추구"
잠언 4:22 그것은 얻는 자에게 생명이 되며 그의 온 육체의 건강이 됨이니라,"무기력함, 슬픔, 희망, 평안"
잠언 4:23 모든 지킬 만한 것 중에 더욱 네 마음을 지키라 생명의 근원이 이에서 남이니라,"불안, 무기력함, 평안, 지혜추구"
잠언 4:24 구부러진 말을 네 입에서 버리며 비뚤어진 말을 네 입술에서 멀리하라,"분노, 후회, 평안"
잠언 4:25 네 눈은 바로 보며 네 눈꺼풀은 네 앞을 곧게 살펴,"유혹, 좌절, 지혜추구"
잠언 4:26 네 발이 행할 길을 평탄하게 하며 네 모든 길을 든든히 하라,"불안, 좌절, 희망"
잠언 4:27 좌로나 우로나 치우치지 말고 네 발을 악에서 떠나게 하라,"유혹, 불안, 평안"
잠언 5:1 내 아들아 내 지혜에 주의하며 내 명철에 네 귀를 기울여서,"무기력함, 지혜추구, 겸손"
잠언 5:2 근신을 지키며 네 입술로 지식을 지키도록 하라,"후회, 분노, 지혜추구"
잠언 5:3 대저 음녀의 입술은 꿀을 떨어뜨리며 그의 입은 기름보다 미끄러우나,"유혹, 후회, 불안"
잠언 5:4 나중은 쑥 같이 쓰고 두 날 가진 칼 같이 날카로우며,"후회, 슬픔, 두려움"
잠언 5:5 그의 발은 사지로 내려가며 그의 걸음은 스올로 나아가나니,"두려움, 후회, 절망"
잠언 5:6 그는 생명의 평탄한 길을 찾지 못하며 자기 길이 든든하지 못하여도 그것을 깨닫지 못하느니라,"무기력함, 좌절, 슬픔"
잠언 5:7 그런즉 아들들아 나에게 들으며 내 입의 말을 버리지 말고,"후회, 지혜추구, 희망"
잠언 5:8 네 길을 그에게서 멀리 하라 그의 집 문에도 가까이 가지 말라,"유혹, 두려움, 불안"
잠언 5:9 두렵건대 네 존영이 남에게 잃어버리게 되며 네 수한이 잔인한 자에게 빼앗기게 될까 하노라,"두려움, 후회, 불안"
잠언 5:10 두렵건대 타인이 네 재물로 충족하게 되며 네 수고한 것이 외인의 집에 있게 될까 하노라,"두려움, 후회, 좌절"
"잠언 5:11 두렵건대 마지막에 이르러 네 몸, 네 육체가 쇠약할 때에 네가 한탄하여","후회, 슬픔, 절망"
잠언 5:12 말하기를 내가 어찌하여 훈계를 싫어하며 내 마음이 꾸지람을 가벼이 여기고,"후회, 슬픔, 자책"
잠언 5:13 내 선생의 목소리를 청종하지 아니하며 나를 가르치는 이에게 귀를 기울이지 아니하였던고,"후회, 슬픔, 교만"
잠언 5:14 많은 무리들이 모인 중에서 큰 악에 빠지게 되었노라 하게 될까 염려하노라,"두려움, 후회, 수치"
잠언 5:15 너는 네 우물에서 물을 마시며 네 샘에서 흐르는 물을 마시라,"평안, 감사, 만족"
잠언 5:16 어찌하여 네 샘물을 집 밖으로 넘치게 하며 네 도랑물을 거리로 흘러가게 하겠느냐,"후회, 지혜추구, 절제"
잠언 5:17 그 물이 네게만 있게 하고 타인과 더불어 그것을 나누지 말라,"질투, 사랑, 평안"
잠언 5:18 네 샘으로 복되게 하라 네가 젊어서 취한 아내를 즐거워하라,"기쁨, 감사, 사랑, 평안"
잠언 5:19 그는 사랑스러운 암사슴 같고 아름다운 암노루 같으니 너는 그의 품을 항상 족하게 여기며 그의 사랑을 항상 연모하라,"사랑, 기쁨, 감사, 평안"
잠언 5:20 내 아들아 어찌하여 음녀를 연모하겠으며 어찌하여 이방 계집의 가슴을 안겠느냐,"유혹, 후회, 지혜추구"
잠언 5:21 대저 사람의 길은 여호와의 눈 앞에 있나니 그가 그 사람의 모든 길을 평탄하게 하시느니라,"두려움, 경외, 평안"
잠언 5:22 악인은 자기의 악에 걸리며 그 죄의 줄에 매이나니,"후회, 두려움, 절망"
잠언 5:23 그는 훈계를 받지 아니함으로 말미암아 죽겠고 심히 미련함으로 말미암아 혼미하게 되느느라,"교만, 후회, 무기력함"
잠언 6:1 내 아들아 네가 만일 이웃을 위하여 담보하며 타인을 위하여 보증하였으면,"불안, 후회, 두려움"
잠언 6:2 네 입의 말로 네가 얽혔으며 네 입의 말로 인하여 잡히게 되었느니라,"후회, 좌절, 불안"
잠언 6:3 내 아들아 네가 네 이웃의 손에 빠졌은즉 이같이 하라 너는 곧 가서 겸손히 네 이웃에게 간구하여 스스로 구원하되,"불안, 겸손, 희망"
잠언 6:4 네 눈을 잠들게 하지 말며 눈꺼풀을 감기게 하지 말고,"불안, 긴급함, 희망"
"잠언 6:5 노루가 사냥꾼의 손에서 벗어나는 것 같이, 새가 그물 치는 자의 손에서 벗어나는 것 같이 스스로 구원하라","두려움, 불안, 희망"
잠언 6:6 게으른 자여 개미에게 가서 그가 하는 것을 보고 지혜를 얻으라,"무기력함, 게으름, 지혜추구"
잠언 6:7 개미는 두령도 없고 감독자도 없고 통치자도 없으되,"무기력함, 자립, 희망"
잠언 6:8 먹을 것을 여름 동안에 예비하며 추수 때에 양식을 모으느니라,"무기력함, 지혜추구, 희망"
잠언 6:9 게으른 자여 네가 어느 때까지 누워 있겠느냐 네가 어느 때에 잠이 깨어 일어나겠느냐,"무기력함, 게으름, 좌절"
"잠언 6:10 좀더 자자, 좀더 졸자, 손을 모으고 좀더 누워 있자 하면","무기력함, 게으름, 안일"
잠언 6:11 네 빈궁이 강도 같이 오며 네 곤핍이 군사 같이 이르리라,"무기력함, 후회, 두려움, 불안"
잠언 6:12 불량하고 악한 자는 구부러진 말을 하고 다니며,"분노, 악의, 경계"
잠언 6:13 눈짓을 하며 발로 뜻을 보이며 손가락질을 하며,"악의, 기만, 경계"
잠언 6:14 그의 마음에 패역을 품으며 항상 악을 꾀하여 다툼을 일으키는 자라,"분노, 악의, 불화"
잠언 6:15 그러므로 그의 재앙이 갑자기 내려 당장에 멸망하여 살릴 길이 없으리라,"두려움, 후회, 절망"
잠언 6:16 여호와께서 미워하시는 것 곧 그의 마음에 싫어하시는 것이 예닐곱 가지이니,"두려움, 경외, 지혜추구"
잠언 6:17 곧 교만한 눈과 거짓된 혀와 무죄한 자의 피를 흘리는 손과,"교만, 거짓, 분노"
잠언 6:18 악한 계교를 꾀하는 마음과 빨리 악으로 달려가는 발과,"악의, 분노, 후회"
잠언 6:19 거짓을 말하는 망령된 증인과 및 형제 사이를 이간하는 자이니라,"거짓, 분열, 후회"
잠언 6:20 내 아들아 네 아비의 명령을 지키며 네 어미의 법을 떠나지 말고,"외로움, 지혜추구, 사랑"
잠언 6:21 그것을 항상 네 마음에 새기며 네 목에 매라,"지혜추구, 평안, 희망"
잠언 6:22 그것이 네가 다닐 때에 너를 인도하며 네가 잘 때에 너를 보호하며 네가 깰 때에 너와 더불어 말하리니,"불안, 외로움, 평안, 희망"
잠언 6:23 대저 명령은 등불이요 법은 빛이요 훈계의 책망은 곧 생명의 길이라,"무기력함, 좌절, 희망, 지혜추구"
"잠언 6:24 이것이 너를 지켜 악한 여인에게, 이방 여인의 혀로 호리는 말에 빠지지 않게 하리라","유혹, 두려움, 불안"
잠언 6:25 네 마음에 그의 아름다움을 탐하지 말며 그 눈꺼풀에 홀리지 말라,"유혹, 탐욕, 후회"
잠언 6:26 음녀로 말미암아 사람이 한 조각 떡만 남게 됨이며 음란한 여인은 귀한 생명을 사냥함이니라,"후회, 좌절, 두려움"
잠언 6:27 사람이 불을 품에 품고서야 어찌 그의 옷이 타지 아니하겠으며,"유혹, 후회, 두려움"
잠언 6:28 사람이 숯불을 밟고서야 어찌 그의 발이 데지 아니하겠느냐,"유혹, 후회, 경고"
잠언 6:29 남의 아내와 통간하는 자도 이와 같을 것이라 그를 만지는 자마다 벌을 면하지 못하리라,"유혹, 후회, 두려움, 죄책감"
잠언 6:30 도둑이 만일 주릴 때에 배를 채우려고 도둑질하면 사람이 그를 멸시하지 아니하려니와,"절망, 이해, 동정"
잠언 6:31 들키면 칠 배를 갚아야 하리니 심지어 자기 집에 있는 것을 다 내주게 되리라,"후회, 두려움, 결과"
잠언 6:32 여인과 간음하는 자는 무지한 자라 이것을 행하는 자는 자기의 영혼을 망하게 하며,"유혹, 무지, 후회, 파멸"
잠언 6:33 상함과 능욕을 받고 부끄러움을 씻을 수 없게 되나니,"수치, 후회, 절망"
잠언 6:34 남편이 투기로 분노하여 원수 갚는 날에 용서하지 아니하고,"분노, 질투, 두려움"
잠언 6:35 어떤 보상도 받지 아니하며 많은 선물을 줄지라도 듣지 아니 하리라,"절망, 후회, 용서받지 못함"
잠언 7:1 아들아 내 말을 지키며 내 명을 간직하라,"지혜추구, 희망, 사랑"
잠언 7:2 내 계명을 지켜 살며 내 법을 네 눈동자처럼 지키라,"두려움, 희망, 생명"
잠언 7:3 이것을 네 손가락에 매며 이것을 네 마음판에 새기라,"망각, 지혜추구, 평안"
잠언 7:4 지혜에게 너는 내 누이라 하며 명철에게 너는 내 친족이라 하라,"외로움, 지혜추구, 친밀"
"잠언 7:5 그리하면 이것이 너를 지켜서 음녀에게, 말로 호리는 이방 여인에게 빠지지 않게 하리라","유혹, 두려움, 보호"
잠언 7:6-9 내가 내 집 들창으로... 깊은 밤 흑암 중에라,"어리석음, 유혹, 위험"
잠언 7:10-12 그 때에 기생의 옷을 입은 간교한 여인이... 모퉁이마다 서서 사람을 기다리는 자라,"유혹, 기만, 경계"
잠언 7:13-20 그 여인이 그를 붙잡고... 보름 날에나 집에 돌아오리라 하여,"유혹, 속임, 욕망"
잠언 7:21 여러 가지 고운 말로 유혹하며 입술의 호리는 말로 꾀므로,"유혹, 속임, 미혹"
잠언 7:22 젊은이가 곧 그를 따랐으니 소가 도수장으로 가는 것 같고,"어리석음, 후회, 파멸"
잠언 7:23 필경은 화살이 그 간을 뚫게 되리라 새가 빨리 그물로 들어가되 그의 생명을 잃어버릴 줄을 알지 못함과 같으니라,"무지, 후회, 죽음"
잠언 7:24 이제 아들들아 내 말을 듣고 내 입의 말에 주의하라,"경고, 지혜추구, 희망"
잠언 7:25 네 마음이 음녀의 길로 치우치지 말며 그 길에 미혹되지 말지어다,"유혹, 미혹, 경고"
잠언 7:26 대저 그가 많은 사람을 상하여 엎드러지게 하였나니 그에게 죽은 자가 허다하니라,"두려움, 경고, 파멸"
잠언 7:27 그의 집은 스올의 길이라 사망의 방으로 내려가느니라,"죽음, 두려움, 절망"
잠언 8:1 지혜가 부르지 아니하느냐 명철이 소리를 높이지 아니하느냐,"무기력함, 희망, 초대"
잠언 8:2-3 그가 길 가의 높은 곳과 네 거리에 서며... 여러 출입하는 문에서 불러 이르되,"외로움, 희망, 기회"
잠언 8:4 사람들아 내가 너희를 부르며 내가 인자들에게 소리를 높이노라,"외로움, 소외감, 희망"
잠언 8:5 어리석은 자들아 너희는 명철할지니라 미련한 자들아 너희는 마음이 밝을지니라,"무기력함, 어리석음, 희망"
잠언 8:6 내가 가장 선한 것을 말하리라 내 입술을 열어 정직을 내리라,"혼란, 진실추구, 희망"
잠언 8:7 내 입은 진리를 말하며 내 입술은 악을 미워하느니라,"거짓, 진실추구, 정의"
잠언 8:8 내 입의 말은 다 의로운즉 그 가운데에 굽은 것과 패역한 것이 없나니,"의심, 신뢰, 진실"
잠언 8:9 이는 다 총명 있는 자가 밝히 아는 바요 지식 얻은 자가 정직하게 여기는 바니라,"혼란, 명확함, 지혜추구"
잠언 8:10 너희가 은을 받지 말고 나의 훈계를 받으며 정금보다 지식을 얻으라,"탐욕, 물질주의, 지혜추구"
잠언 8:11 대저 지혜는 진주보다 나으므로 원하는 모든 것을 이에 비교할 수 없음이니라,"탐욕, 가치혼란, 지혜추구"
잠언 8:12 나 지혜는 명철로 주소를 삼으며 지식과 근신을 찾아 얻나니,"무지, 지혜추구, 성장"
잠언 8:13 여호와를 경외하는 것은 악을 미워하는 것이라 나는 교만과 거만과 악한 행실과 패역한 입을 미워하느니라,"교만, 악함, 경외"
잠언 8:14 내게는 계략과 참 지식이 있으며 나는 명철이라 내게 능력이 있으므로,"무력감, 좌절, 희망"
잠언 8:15-16 나로 말미암아 왕들이 치리하며... 모든 의로운 재판관들이 다스리느니라,"불의, 정의추구, 희망"
잠언 8:17 나를 사랑하는 자들이 나의 사랑을 입으며 나를 간절히 찾는 자가 나를 만날 것이니라,"외로움, 사랑받지 못함, 희망, 사랑"
잠언 8:18 부귀가 내게 있고 장구한 재물과 공의도 그러하니라,"빈곤, 불안, 희망"
잠언 8:19 내 열매는 금이나 정금보다 나으며 내 소득은 순은보다 나으니라,"가치혼란, 탐욕, 지혜추구"
잠언 8:20 나는 정의로운 길로 행하며 공의로운 길 가운데로 다니나니,"불의, 혼란, 정의추구"
잠언 8:21 이는 나를 사랑하는 자가 재물을 얻어서 그 곳간에 채우게 하려 함이니라,"빈곤, 결핍, 희망"
잠언 8:22-31 여호와께서 그 조화의 시작... 인자들을 기뻐하였느니라,"경외, 창조의 신비, 기쁨"
잠언 8:32 아들들아 이제 내게 들으라 내 도를 지키는 자가 복이 있느니라,"방황, 지혜추구, 축복"
잠언 8:33 훈계를 들어서 지혜를 얻으라 그것을 버리지 말라,"무기력함, 포기, 희망"
잠언 8:34 누구든지 내게 들으며 날마다 내 문 곁에서 기다리며 문설주 옆에서 기다리는 자는 복이 있나니,"인내, 기다림, 희망"
잠언 8:35 대저 나를 얻는 자는 생명을 얻고 여호와께 은총을 얻을 것임이니라,"죽음의 두려움, 희망, 생명"
잠언 8:36 그러나 나를 잃는 자는 자기의 영혼을 해하는 자라 나를 미워하는 자는 사망을 사랑하느니라,"자기파괴, 절망, 경고"
잠언 9:1-2 지혜가 그의 집을 짓고... 포도주를 혼합하여 상을 갖추고,"준비, 초대, 희망"
잠언 9:3-5 자기의 여종을 보내어... 내 혼합한 포도주를 마시고,"외로움, 초대받음, 희망"
잠언 9:6 어리석음을 버리고 생명을 얻으라 명철의 길을 행하라 하느니라,"어리석음, 변화, 희망, 생명"
